city_id,city_name,state
1,Bombuflat,1
2,Garacharma,1
3,Port Blair,1
4,Rangat,1
5,Addanki,2
6,Adivivaram,2
7,Adoni,2
8,Aganampudi,2
9,Ajjaram,2
10,Akividu,2
11,Akkarampalle,2
12,Akkayapalle,2
13,Akkireddipalem,2
14,Alampur,2
15,Amalapuram,2
16,Amudalavalasa,2
17,Amur,2
18,Anakapalle,2
19,Anantapur,2
20,Andole,2
21,Atmakur,2
22,Attili,2
23,Avanigadda,2
24,Badepalli,2
25,Badvel,2
26,Balapur,2
27,Bandarulanka,2
28,Banganapalle,2
29,Bapatla,2
30,Bapulapadu,2
31,Belampalli,2
32,Bestavaripeta,2
33,Betamcherla,2
34,Bhattiprolu,2
35,Bhimavaram,2
36,Bhimunipatnam,2
37,Bobbili,2
38,Bombuflat,2
39,Bommuru,2
40,Bugganipalle,2
41,Challapalle,2
42,Chandur,2
43,Chatakonda,2
44,Chemmumiahpet,2
45,Chidiga,2
46,Chilakaluripet,2
47,Chimakurthy,2
48,Chinagadila,2
49,Chinagantyada,2
50,Chinnachawk,2
51,Chintalavalasa,2
52,Chipurupalle,2
53,Chirala,2
54,Chittoor,2
55,Chodavaram,2
56,Choutuppal,2
57,Chunchupalle,2
58,Cuddapah,2
59,Cumbum,2
60,Darnakal,2
61,Dasnapur,2
62,Dauleshwaram,2
63,Dharmavaram,2
64,Dhone,2
65,Dommara Nandyal,2
66,Dowlaiswaram,2
67,East Godavari Dist.,2
68,Eddumailaram,2
69,Edulapuram,2
70,Ekambara kuppam,2
71,Eluru,2
72,Enikapadu,2
73,Fakirtakya,2
74,Farrukhnagar,2
75,Gaddiannaram,2
76,Gajapathinagaram,2
77,Gajularega,2
78,Gajuvaka,2
79,Gannavaram,2
80,Garacharma,2
81,Garimellapadu,2
82,Giddalur,2
83,Godavarikhani,2
84,Gopalapatnam,2
85,Gopalur,2
86,Gorrekunta,2
87,Gudivada,2
88,Gudur,2
89,Guntakal,2
90,Guntur,2
91,Guti,2
92,Hindupur,2
93,Hukumpeta,2
94,Ichchapuram,2
95,Isnapur,2
96,Jaggayyapeta,2
97,Jallaram Kamanpur,2
98,Jammalamadugu,2
99,Jangampalli,2
100,Jarjapupeta,2
101,Kadiri,2
102,Kaikalur,2
103,Kakinada,2
104,Kallur,2
105,Kalyandurg,2
106,Kamalapuram,2
107,Kamareddi,2
108,Kanapaka,2
109,Kanigiri,2
110,Kanithi,2
111,Kankipadu,2
112,Kantabamsuguda,2
113,Kanuru,2
114,Karnul,2
115,Katheru,2
116,Kavali,2
117,Kazipet,2
118,Khanapuram Haveli,2
119,Kodar,2
120,Kollapur,2
121,Kondapalem,2
122,Kondapalle,2
123,Kondukur,2
124,Kosgi,2
125,Kothavalasa,2
126,Kottapalli,2
127,Kovur,2
128,Kovurpalle,2
129,Kovvur,2
130,Krishna,2
131,Kuppam,2
132,Kurmannapalem,2
133,Kurnool,2
134,Lakshettipet,2
135,Lalbahadur Nagar,2
136,Machavaram,2
137,Macherla,2
138,Machilipatnam,2
139,Madanapalle,2
140,Madaram,2
141,Madhuravada,2
142,Madikonda,2
143,Madugule,2
144,Mahabubnagar,2
145,Mahbubabad,2
146,Malkajgiri,2
147,Mamilapalle,2
148,Mancheral,2
149,Mandapeta,2
150,Mandasa,2
151,Mangalagiri,2
152,Manthani,2
153,Markapur,2
154,Marturu,2
155,Metpalli,2
156,Mindi,2
157,Mirpet,2
158,Moragudi,2
159,Mothugudam,2
